Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-01-28,129.88788754075222,133.3209284523912,129.5305945974437,130.43507385253906,22831600,0.0,0.0
2021-01-29,130.67494091070287,133.27095343507364,129.0408849981208,129.82293701171875,27155200,0.0,0.0
2021-02-01,130.45756728916663,132.6313217512763,128.95342637457503,132.29400634765625,21720400,0.0,0.0
2021-02-02,133.9105751151475,135.64207858304772,132.7787180116558,135.4896697998047,22044000,0.0,0.0
2021-02-03,136.281712404779,139.23751868881646,135.0873911686993,135.22731018066406,24540800,0.0,0.0
2021-02-04,135.23231710472356,136.6565020729264,133.30093141847624,136.56405639648438,20134000,0.0,0.0
2021-02-05,137.17121259598352,137.29363983570923,135.37974583809898,135.8319854736328,16915200,0.0,0.0
2021-02-08,137.19370533672998,144.65441638832525,137.19370533672998,144.3046112060547,43462400,0.0,0.0
2021-02-09,143.3251776707868,145.74878864153015,142.14336136882844,142.55062866210938,28756000,0.0,0.0
2021-02-10,144.5494728094738,148.96443242240827,143.3326577545502,147.5577392578125,48535200,0.0,0.0
2021-02-11,149.7165035096672,152.6348253005472,149.1643152112533,152.41995239257812,45082800,0.0,0.0
2021-02-12,150.41359876920004,152.82471986609335,147.66517752923124,149.526611328125,37475600,0.0,0.0
2021-02-16,150.55601627380878,153.63675084584338,149.41417036592526,153.21449279785156,32196000,0.0,0.0
2021-02-17,151.62291412664854,152.14760663842065,147.7151550912605,148.97442626953125,27475600,0.0,0.0
2021-02-18,147.20543857160067,148.6471153561435,145.66632934887082,148.20486450195312,23386800,0.0,0.0
2021-02-19,150.15873914014318,151.68287278435827,148.38226326674922,149.17930603027344,27172400,0.0,0.0
2021-02-22,147.66267946465405,151.2456281170227,143.16776380542728,143.47508239746094,32588400,0.0,0.0
2021-02-23,140.67169364729722,142.3057494714655,133.81813250361276,141.33880615234375,39178000,0.0,0.0
2021-02-24,141.14641659639477,144.98422369718227,137.4810263258478,144.90676879882812,44832000,0.0,0.0
2021-02-25,140.37436408025724,143.66496952659222,132.08662922413782,132.99859619140625,82443600,0.0,0.0
2021-02-26,137.4460403917577,138.46545907675656,133.53329471482058,137.06626892089844,50093200,0.0,0.0
2021-03-01,138.67034133036074,139.17005427209176,135.45468977032385,138.33802795410156,35318400,0.0,0.0
2021-03-02,138.9202000473485,139.1250841867743,133.88310022327033,133.98553466796875,26411600,0.0,0.0
2021-03-03,134.18541184134975,134.43776931168716,127.91402065289073,127.97398376464844,37759200,0.0,0.0
2021-03-04,127.93401363134438,129.67550587969583,120.76812439003363,123.63147735595703,57334400,0.0,0.0
2021-03-05,125.42795109228332,125.42795109228332,116.72545337847652,124.54345703125,54284000,0.0,0.0
2021-03-08,124.4285306082292,124.64091014732253,115.59860326681569,115.86595153808594,54311200,0.0,0.0
2021-03-09,121.2747049126307,126.13859573080997,120.5648685038672,125.17381286621094,52182400,0.04,0.0
2021-03-10,128.37558151153394,129.77026619196496,124.54645712442979,124.65393829345703,38437600,0.0,0.0
2021-03-11,129.4703297664707,130.43260314234752,127.31582472707373,129.9052276611328,29991600,0.0,0.0
2021-03-12,126.45352460246369,128.8579724644951,125.87116139291938,128.53054809570312,24396400,0.0,0.0
2021-03-15,128.61802722512581,132.03724170381474,127.64324454359624,131.8822784423828,22198800,0.0,0.0
2021-03-16,133.53439638065822,135.094036470011,131.13743904900036,132.88204956054688,27212800,0.0,0.0
2021-03-17,130.36763406295168,134.50168128750784,129.8652467393908,133.38194274902344,24386400,0.0,0.0
2021-03-18,131.33490494910745,131.8097869559986,127.14085885502992,127.19584655761719,29389600,0.0,0.0
2021-03-19,127.47078519433954,129.1853885652912,126.0961002559692,128.42807006835938,29920800,0.0,0.0
2021-03-22,129.09791668376388,133.91431777745936,129.03793287184064,131.83229064941406,29780400,0.0,0.0
2021-03-23,132.51212221696724,133.41442699359746,130.18265433040227,130.67755126953125,22204800,0.0,0.0
2021-03-24,131.48236358856758,131.5623470888628,126.3385458147187,126.40103149414062,24584000,0.0,0.0
2021-03-25,124.96636760492625,127.11837082680267,122.6918872598108,125.32378387451172,29514400,0.0,0.0
2021-03-26,125.51623168038317,128.53304210251534,123.70664885176532,128.3630828857422,36396800,0.0,0.0
2021-03-29,128.17312953804245,130.59507517884364,126.97090562842597,129.4528350830078,27352000,0.0,0.0
2021-03-30,128.39057110108428,129.7227700340793,127.02088991428033,128.68800354003906,20020400,0.0,0.0
2021-03-31,130.12518244060914,134.67414316258098,129.79525620746813,133.45191955566406,31477600,0.0,0.0
2021-04-01,135.69140569512746,138.66821675108176,135.0815448536302,138.08584594726562,30827600,0.0,0.0
2021-04-05,138.64323449768028,140.10789522486704,137.29854139843434,139.84295654296875,25567200,0.0,0.0
2021-04-06,139.96542732111638,140.5103006433965,137.7034486593842,138.583251953125,19174400,0.0,0.0
2021-04-07,138.77568753839884,142.40235874176844,137.08358574643748,141.402587890625,25128400,0.0,0.0
2021-04-08,142.49483716617456,144.68183591595994,142.45735491221097,143.13719177246094,24441600,0.0,0.0
2021-04-09,142.10743600223537,144.04699400118102,141.7175259590149,143.96701049804688,19517200,0.0,0.0
2021-04-12,142.86476207758554,153.48981399586268,141.36010206319395,152.05514526367188,86932400,0.0,0.0
