Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,KC middle,KC low,KC high,BB high,BB low,BB middle,MOMSQZE,vol_avg,10_ma
2019-10-14,620.7461692314711,737.5574969599047,619.7545619323794,721.6422119140625,45270607,0.0,0,,,,,,,,,
2019-10-15,729.8229353189122,741.1272821675241,690.2082136138009,707.1647338867188,10530041,0.0,0,,,,,,,,,
2019-10-16,708.0075238796285,714.9487741137425,692.389710852872,694.7695922851562,3476306,0.0,0,,,,,,,,,
2019-10-17,694.2241634430648,726.8480639181267,681.3828988631035,718.2210693359375,5032930,0.0,0,,,,,,,,,
2019-10-18,718.9151675981549,783.2704943964446,710.0402717004674,772.6107177734375,9733230,0.0,0,,,,,,,,,
2019-10-22,780.3453380125843,859.4755845107849,774.4452627665681,837.6106567382812,9346788,0.0,0,,,,,,,,,
2019-10-23,858.7318423797407,902.2634230328625,858.7318423797407,892.7439575195312,9023269,0.0,0,,,,,,,,,
2019-10-24,917.1870767651732,945.497449758231,855.4099613186909,894.479248046875,11871313,0.0,0,,,,,,,,,
2019-10-25,897.4045306070217,908.3122099845656,868.6479213389514,891.5044555664062,3849535,0.0,0,,,,,,,,,
2019-10-29,899.3877297284968,899.7843968173607,871.275689838646,875.6882934570312,2023748,0.0,0,,,,,,,,,800.6434936523438
2019-10-30,873.6059236008061,912.2786035331914,873.4571583149835,882.9766235351562,3276203,0.0,0,,,,,,,,,816.7769348144532
2019-10-31,892.4465101313721,900.0818979337432,869.6395437613481,874.3001098632812,1839718,0.0,0,,,,,,,,,833.4904724121094
2019-11-01,877.5723446519906,900.3297412873761,875.6882668215444,883.0261840820312,1882230,0.0,0,,,,,,,,,852.3161315917969
2019-11-04,887.4884515433924,890.4632731686776,872.862245219074,876.035400390625,839167,0.0,0,,,,,,,,,868.0975646972656
2019-11-05,879.2581151430022,899.3877291709134,863.9873400747108,874.1017456054688,2038067,0.0,0,,,,,,,,,878.2466674804688
2019-11-06,877.5723109243959,887.4883822342761,873.6058824004439,876.878173828125,990090,0.0,0,,,,,,,,,882.1734191894532
2019-11-07,881.5387995953054,884.5136211912401,872.7134713182057,874.1017456054688,775102,0.0,0,,,,,,,,,880.3091979980469
2019-11-08,872.3664616732779,883.5220430245986,864.978975696045,869.5404052734375,948769,0.0,0,,,,,,,,,877.8153137207031
2019-11-11,878.5639720257614,935.4326202722192,876.580757641956,925.0703735351562,5501875,0.0,0,,,,,,,,,881.1719055175781
2019-11-13,946.9848753564585,972.6675260281655,895.6196345359448,924.2274780273438,6174470,0.0,0,851.1276286960617,759.921933005297,942.3333243868265,989.3755266958317,697.2937909311215,843.3346588134766,,,886.0258239746094
