Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,KC middle,KC low,KC high,BB high,BB low,BB middle,MOMSQZE,vol_avg,10_ma
2004-04-07,30.88863630340545,36.82652370165655,30.88863630340545,35.18034362792969,57671472,0.0,0.0,,,,,,,,,
2004-04-08,35.54009522020332,42.21930694580078,35.39473584854847,42.21930694580078,85470720,0.0,0.0,,,,,,,,,
2004-04-09,42.21930694580078,42.21930694580078,42.21930694580078,42.21930694580078,0,0.0,0.0,,,,,,,,,
2004-04-12,45.06105948130642,50.66462320259868,43.607479063836294,50.551971435546875,47399796,0.0,0.0,,,,,,,,,
2004-04-13,51.602180858238675,56.689722252759424,44.018115303047615,45.213687896728516,117545316,0.0,0.0,,,,,,,,,
2004-04-14,45.213687896728516,45.213687896728516,45.213687896728516,45.213687896728516,0,0.0,0.0,,,,,,,,,
2004-04-15,46.805366815722515,49.058422512044935,45.53348289662819,47.0524787902832,57408636,0.0,0.0,,,,,,,,,
2004-04-16,47.89555092746532,48.72409378688124,46.63820269566883,46.94709014892578,26430564,0.0,0.0,,,,,,,,,
2004-04-19,46.151256782888275,48.237151436620195,44.188919786000476,44.51597595214844,47196216,0.0,0.0,,,,,,,,,
2004-04-20,45.061063025774246,45.27910043824408,43.26589076956301,43.68016052246094,45861048,0.0,0.0,,,,,,,,,44.279401016235354
2004-04-21,43.76011420737764,45.31544752607361,42.906133112075416,44.10533905029297,60827148,0.0,0.0,,,,,,,,,45.17190055847168
2004-04-22,44.3270080183648,47.45947605957502,44.18891476939051,46.63820266723633,46714800,0.0,0.0,,,,,,,,,45.613790130615236
2004-04-23,47.2414415693516,48.47698813124707,46.1512544050283,46.558258056640625,44848512,0.0,0.0,,,,,,,,,46.04768524169922
2004-04-27,44.91570483452259,45.787854442959926,43.31676166772967,43.654720306396484,25438272,0.0,0.0,,,,,,,,,45.35796012878418
2004-04-28,43.68015962320793,45.64249629503737,43.44395354022406,44.690399169921875,37803924,0.0,0.0,,,,,,,,,45.30563125610352
2004-04-29,44.65769243497897,45.05742655197786,44.090793874592215,44.26522445678711,15108780,0.0,0.0,,,,,,,,,45.210784912109375
