Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,KC middle,KC low,KC high,BB high,BB low,BB middle,MOMSQZE,vol_avg,10_ma
2002-07-01,7.048220287262024,7.151006380919798,7.011510668022354,7.026194095611572,825970,0.0,0.0,,,,,,,,,
2002-07-02,7.048219820315736,7.099612863739821,6.938090969892791,6.9748005867004395,653405,0.0,0.0,,,,,,,,,
2002-07-03,6.945432832677966,7.02619342717994,6.945432832677966,6.982142448425293,305880,0.0,0.0,,,,,,,,,
2002-07-04,7.018852284386645,7.26847613890943,6.989484730902923,7.136322498321533,2413155,0.0,0.0,,,,,,,,,
2002-07-05,7.268475614819121,7.30518522907127,7.048219329661543,7.231766700744629,3460955,0.0,0.0,,,,,,,,,
2002-07-08,7.268476115860076,7.371262902816005,7.195057582472444,7.239108562469482,2791970,0.0,0.0,,,,,,,,,
2002-07-09,7.268475343350799,7.283159468574286,7.121637592004065,7.173031330108643,716330,0.0,0.0,,,,,,,,,
2002-07-10,7.165689934583559,7.253792593593477,7.084928638691198,7.217082977294922,1163015,0.0,0.0,,,,,,,,,
2002-07-11,7.1216381145733045,7.268475876694652,6.82796259033061,6.872013568878174,1434245,0.0,0.0,,,,,,,,,
2002-07-12,6.938090769492963,7.048219616734946,6.916065280115641,6.982142448425293,673410,0.0,0.0,,,,,,,,,7.083460521697998
2002-07-15,8.237605902594499,8.237605902594499,6.872013064625803,7.173031330108643,1958485,0.0,0.0,,,,,,,,,7.098144245147705
2002-07-16,7.048219820315736,7.180373460574485,6.9160654798792836,6.9748005867004395,1115835,0.0,0.0,,,,,,,,,7.098144245147705
2002-07-17,7.033535358830029,7.033535358830029,6.791252879677375,6.849987983703613,468885,0.0,0.0,,,,,,,,,7.084928798675537
2002-07-18,6.908722780313238,6.974799944446947,6.813278065473174,6.886697292327881,271340,0.0,0.0,,,,,,,,,7.059966278076172
2002-07-19,6.314028572613569,6.901379481545286,6.314028572613569,6.827960968017578,317560,0.0,0.0,,,,,,,,,7.019585704803466
2002-07-22,6.7545424842569295,6.7545424842569295,6.548969643915146,6.5783371925354,508510,0.0,0.0,,,,,,,,,6.953508567810059
2002-07-23,6.783911069974074,6.783911069974074,6.475551412231826,6.695808410644531,321750,0.0,0.0,,,,,,,,,6.9057862758636475
2002-07-24,6.622390421211707,6.754544070958101,6.607706293363355,6.710493087768555,614330,0.0,0.0,,,,,,,,,6.855127286911011
2002-07-25,7.12163828082617,7.12163828082617,6.6444153677467215,6.695808410644531,417915,0.0,0.0,,,,,,,,,6.8375067710876465
2002-07-26,6.673782208896044,6.754542796288144,6.475550721418678,6.541627883911133,842775,0.0,0.0,6.86425026430501,6.236073817539244,7.4924267110707765,7.3630578461596246,6.513857990174604,6.938457918167114,,,6.793455314636231
2002-07-29,6.607704800741805,6.739859120813472,6.328712736244729,6.387447834014893,972715,0.0,0.0,6.818840509039285,6.171252430036346,7.466428588042224,7.391688644208966,6.421352565965594,6.90652060508728,SQZE,,6.714896965026855
2002-07-30,6.5709955734492755,6.593021061355352,6.387448207150817,6.416815757751465,604080,0.0,0.0,6.780552437488064,6.1566085209173265,7.404496354058801,7.407113834555766,6.350128892723898,6.878621363639832,TRNDd,,6.659098482131958
