Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,KC middle,KC low,KC high,BB high,BB low,BB middle,MOMSQZE,vol_avg
2017-11-17,306.62287226020385,364.9801285935975,303.6555541415567,340.845947265625,168836552,0.0,0,,,,,,,,
2017-11-20,340.9449072137295,354.9901966482986,340.2525208240493,351.4788818359375,14650240,0.0,0,,,,,,,,
2017-11-21,352.5174092277845,414.33654069257284,348.65990146140626,381.1025695800781,43078194,0.0,0,,,,,,,,
2017-11-22,383.7731988027102,403.55532245233445,382.6851759649558,390.894775390625,15227642,0.0,0,,,,,,,,
2017-11-23,385.75140121557405,387.72961352950006,367.0573008859981,370.7664489746094,12300150,0.0,0,,,,,,,,
2017-11-24,371.9533452175441,378.82764484159094,362.11175741171513,366.6616516113281,9463228,0.0,0,,,,,,,,
2017-11-27,366.9583643477025,380.3112967431041,366.9583643477025,376.2065124511719,3832223,0.0,0,,,,,,,,
2017-11-28,378.82764978724725,382.1906046099527,373.9810357617198,378.036376953125,2409447,0.0,0,,,,,,,,
2017-11-29,378.23419003317036,380.5091523151694,372.00283329121015,373.6842956542969,1657909,0.0,0,,,,,,,,
2017-11-30,375.66251102566196,375.66251102566196,366.7605555019721,367.45294189453125,2536960,0.0,0,,,,,,,,
2017-12-01,369.6289634106495,375.41520997520604,363.9910465396546,368.6893005371094,1904781,0.0,0,,,,,,,,
2017-12-04,369.9751305712394,370.8158768067629,358.05641394892257,358.8476867675781,1323453,0.0,0,,,,,,,,
2017-12-05,357.06731907270694,361.9139331560596,353.2592543696713,358.4026184082031,1806017,0.0,0,,,,,,,,
2017-12-06,356.96836709812897,367.6507305399294,354.6439618456223,364.33721923828125,3331373,0.0,0,,,,,,,,
2017-12-07,366.018698990102,385.65246104556564,366.018698990102,384.06988525390625,3350792,0.0,0,,,,,,,,
2017-12-08,385.75137681864936,391.4881800921598,381.39931604028396,385.0589904785156,2494845,0.0,0,,,,,,,,
2017-12-11,382.7840505418553,387.97685742905105,374.92064518148163,376.6515808105469,1029719,0.0,0,,,,,,,,
2017-12-12,376.7505252137554,382.78407874521383,372.942460512211,379.6189270019531,2564559,0.0,0,,,,,,,,
2017-12-13,382.2400542753407,385.00953920779637,374.376648914967,376.6515808105469,747787,0.0,0,,,,,,,,
2017-12-14,378.6792786132435,381.79495680924776,372.8930018577368,380.11346435546875,1261422,0.0,0,369.4633022897561,337.2194615940899,401.70714298542225,395.3310839777979,347.6260815495458,371.47858276367185,,
2017-12-15,385.1361296044917,387.86583155400814,377.29444642616414,378.5848388671875,1698848,1.36,0,370.33202005903524,339.1982864073669,401.4657537107036,392.7853027911451,353.94575189635486,373.36552734375,SQZE,
2017-12-18,377.1951674452442,380.4707975719182,369.5023712670846,374.66400146484375,1399027,0.0,0,370.7445897167313,340.53054416926307,400.95863526419953,391.14658639817395,357.90298025221665,374.5247833251953,SQZE,
2017-12-19,375.2099370901566,378.1381749065994,369.50237852330895,372.1328125,1641589,0.0,0,370.87680141037595,341.95700114099645,399.79660167975544,390.44610373087664,357.7064872115062,374.07629547119143,SQZE,
2017-12-20,374.6640231346587,374.912177864436,368.7579284490294,372.3809814453125,2251770,0.0,0,371.0200566517985,343.7613865262756,398.27872677732137,387.5917131194708,358.7094984283808,373.1506057739258,SQZE,
2017-12-21,376.45071508356403,378.98188114320135,372.23208478928547,373.2743225097656,1448962,0.0,0,371.2347486382715,345.3519862545178,397.11751102202527,387.6756142895003,358.87638461186685,373.27599945068357,SQZE,
2017-12-22,373.47286465349777,377.59222706895173,371.4380080062028,371.785400390625,775946,0.0,0,371.2871916623052,346.761861704377,395.8125216202334,387.63115270754827,359.43322107174856,373.5321868896484,SQZE,
2017-12-26,373.22470161174635,375.805516777101,370.6438864463917,373.7706298828125,1310649,0.0,0,371.52370958806785,348.41858655979064,394.62883261634505,387.45683250466135,359.3639530177996,373.41039276123047,SQZE,
2017-12-27,372.33137617436046,375.16034625530057,371.04095335713396,372.0832214355469,589597,0.0,0,371.57699643068486,349.95850712560207,393.19548573576765,387.0059131551038,359.2195568155993,373.11273498535155,SQZE,
2017-12-28,372.23210137439315,377.19519605938507,369.6512860797322,375.16033935546875,912189,0.0,0,371.9182671854262,350.9528448149211,392.8836895559313,387.1067316021719,359.26634273864835,373.18653717041013,SQZE,
2017-12-29,376.20257686951004,387.91546820128735,372.87729737433546,383.1509094238281,1611972,0.0,0,372.9880426367026,351.1115283378576,394.86455693554757,388.27494809086096,359.66792300288904,373.971435546875,SQZE,
2018-01-01,385.6324505987641,396.84903228303347,383.6968315869366,386.7739562988281,1445743,0.0,0,374.30098679500026,351.87249935419874,396.7294742358018,389.9925675151608,359.7587691547611,374.87566833496095,SQZE,
2018-01-02,388.8088402774246,395.0623273114037,381.51308520956553,392.5807800292969,1219713,0.0,0,376.0419194839809,353.1464323668919,398.93740660106994,391.67709664541576,361.44754935067795,376.56232299804685,SQZE,
2018-01-03,395.0623160804493,395.36008962890685,381.2649196426372,382.803466796875,2275082,0.0,0,376.6858763709232,353.26090396828914,400.1108487735573,390.60179478917166,364.9629360457893,377.7823654174805,SQZE,
2018-01-04,387.12136175399434,398.9831694426169,384.39165984419054,396.054931640625,2974278,0.0,0,378.530548301371,354.212132609852,402.84896399289005,392.96606633032883,365.77043574486646,379.36825103759764,SQZE,
2018-01-05,398.0401969740959,408.9590053698941,395.06234013887826,403.99591064453125,3554479,0.0,0,380.9558209054816,356.2899137369113,405.6217280740519,397.62182226905395,363.1072823452039,380.3645523071289,SQZE,
